DEPTH,RHOB,DT,GR,FACIES
496.35,1364.3746,593.0079,23.1225,2
496.5,1362.6318,582.0589,20.4144,2
496.65,1356.0139,564.6318,18.1244,2
496.8,1361.4764,551.7589,16.9902,2
496.95,1362.2881,554.7319,16.5344,2
497.1,1362.9935,560.4791,16.1866,2
497.25,1364.709,564.9944,15.8965,2
497.4,1365.6669,563.7702,16.0924,2
497.55,1365.8813,560.6882,16.1403,2
497.7,1365.4199,566.6825,17.5613,2
497.85,1359.0059,579.4291,18.8677,2
498.0,1356.4567,596.7235,19.9801,2
498.15,1354.0898,605.3447,20.6065,2
498.3,1355.6005,604.64,21.3198,2
498.45,1357.12,601.5952,20.9528,2
498.6,1362.277,607.6485,20.3827,2
498.75,1368.7638,618.0771,18.0954,2
498.9,1370.5305,627.9106,17.117,2
499.05,1369.1583,629.3974,17.117,2
499.2,1365.6836,624.437,17.848,2
499.35,1362.7213,616.3549,18.8469,2
499.5,1361.9,613.2374,19.3222,2
499.65,1364.63,616.7766,19.4032,2
499.8,1363.575,618.6024,19.285,2
499.95,1362.0161,615.5743,18.9427,2
500.1,1365.2881,610.2121,18.7429,2
500.25,1368.7063,606.1161,18.7429,2
500.4,1367.6973,604.5136,19.8976,2
500.55,1364.8625,604.1192,20.9918,2
500.7,1362.7476,604.128,20.9921,2
500.85,1360.3799,604.8876,20.9918,2
501.0,1358.6086,606.777,20.7593,2
501.15,1357.9567,607.8518,20.136,2
501.3,1363.3986,606.2616,19.6976,2
501.45,1370.48,603.8018,19.6976,2
501.6,1367.5822,603.0042,20.3666,2
501.75,1363.6364,607.8302,21.4274,2
501.9,1363.0729,618.716,21.4274,2
502.05,1367.0006,626.5601,21.5015,2
502.2,1371.7042,629.775,21.6495,2
502.35,1374.2557,631.0251,21.8151,2
502.5,1374.9512,631.4632,22.4537,2
502.65,1398.2109,634.0522,23.1436,2
502.8,1460.1486,639.4579,23.309,2
502.95,1509.5304,643.2139,23.4651,2
503.1,1538.1516,638.4569,23.2037,2
503.25,1564.9856,626.9164,23.0814,2
503.4,1595.0272,620.5945,22.9604,2
503.55,1631.6742,610.7384,22.9166,2
503.7,1693.5699,606.1356,22.8717,2
503.85,1761.424,596.2189,22.8804,2
504.0,1750.55,587.8544,22.9308,2
504.15,1677.8615,580.03,22.958,2
504.3,1636.8346,572.1776,23.1702,2
504.45,1611.3208,561.31,23.1702,2
504.6,1591.2379,549.4659,23.1702,2
504.75,1561.063,531.7241,23.1541,2
504.9,1503.8296,511.2646,22.8257,2
505.05,1461.1415,508.3474,22.8298,2
505.2,1434.8,506.1775,23.1296,2
505.35,1423.4,512.939,23.2392,2
505.5,1426.8538,523.9113,23.3678,2
505.65,1402.6324,526.1932,23.9294,2
505.8,1377.5835,521.6914,24.8224,2
505.95,1378.1736,516.6058,24.8651,2
506.1,1397.8048,512.8754,24.8651,2
506.25,1423.8883,511.3945,24.8651,2
506.4,1424.1829,513.6132,23.4927,2
506.55,1411.1476,518.5942,21.8482,2
506.7,1382.4998,521.3532,21.4627,2
506.85,1370.5913,526.0678,20.8129,2
507.0,1369.6959,531.6435,20.6948,2
507.15,1370.9297,530.9057,20.6814,2
507.3,1370.2478,527.7152,19.9799,2
507.45,1374.5627,524.2853,19.7982,2
507.6,1405.6968,522.3022,19.7982,2
507.75,1422.1194,523.2101,21.1745,2
507.9,1428.4983,524.7522,22.0557,2
508.05,1457.2568,527.5358,22.8656,2
508.2,1510.0112,528.4811,23.1814,2
508.35,1567.0652,527.1907,23.7777,2
508.5,1584.7333,522.9592,24.4508,2
508.65,1579.5844,519.4588,24.6526,2
508.8,1565.7491,518.8232,24.6526,2
508.95,1526.9723,520.3708,23.8969,2
509.1,1503.84,520.8101,23.3488,2
509.25,1503.7606,518.4413,23.0658,2
